Cidades,Estados,Geocode
Sorriso/MT,MT,5107925.0
Bauru/SP,SP,3506003.0
Rio de Janeiro/RJ,RJ,3304557.0
Goiânia/GO,GO,5208707.0
Aracaju/SE,SE,2800308.0
Belém/PA,PA,1501402.0
Belo Horizonte/MG,MG,3106200.0
Curitiba/PR,PR,4106902.0
Brasília/DF,DF,5300108.0
Boa Vista/RR,RR,1400100.0
Barra do Garças/MT,MT,5101803.0
Cascavel/CE,CE,2303501.0
Cabo Frio/RJ,RJ,3300704.0
Campo Grande/AL,AL,2701506.0
Chapecó/SC,SC,4204202.0
Parauapebas/PA,PA,1505536.0
Caldas Novas/GO,GO,5204508.0
Porto Alegre/RS,RS,4314902.0
Corumbá/MS,MS,5003207.0
Caxias do Sul/RS,RS,4305108.0
Cuiabá/MT,MT,5103403.0
Cruzeiro do Sul/AC,AC,1200203.0
Bonito/PA,PA,1501600.0
Presidente Prudente/SP,SP,3541406.0
Dourados/MS,MS,5003702.0
Manaus/AM,AM,1302603.0
Foz do Iguaçu/PR,PR,4108304.0
Florianópolis/SC,SC,4205407.0
Fernando de Noronha/PE,PE,2605459.0
Fortaleza/CE,CE,2304400.0
São Paulo/SP,SP,3550308.0
Ponta Grossa/PR,PR,4119905.0
Guarapuava/PR,PR,4109401.0
Altamira/PA,PA,1500602.0
Itaituba/PA,PA,1503606.0
Ilhéus/BA,BA,2913606.0
Imperatriz/MA,MA,2105302.0
Jaguaruna/SC,SC,4208807.0
Jijoca de Jericoacoara/CE,CE,2307254.0
Juiz de Fora/MG,MG,3136702.0
Ji-Paraná/RO,RO,1100122.0
João Pessoa/PB,PB,2507507.0
Juazeiro do Norte/CE,CE,2307304.0
Joinville/SC,SC,4209102.0
Campina Grande/PB,PB,2504009.0
Lençóis/BA,BA,2919306.0
Lages/SC,SC,4209300.0
Londrina/PR,PR,4113700.0
Marabá/PA,PA,1504208.0
Macaé/RJ,RJ,3302403.0
Maringá/PR,PR,4115200.0
Montes Claros/MG,MG,3143302.0
Maceió/AL,AL,2704302.0
Macapá/AP,AP,1600303.0
Mossoró/RN,RN,2408003.0
Itajaí/SC,SC,4208203.0
Natal/RN,RN,2408102.0
Parnaíba/PI,PI,2207702.0
Passo Fundo/RS,RS,4314100.0
Palmas/TO,TO,1721000.0
Petrolina/PE,PE,2611101.0
Porto Seguro/BA,BA,2925303.0
Porto Velho/RO,RO,1100205.0
Vitória da Conquista/BA,BA,2933307.0
Rio Branco/AC,AC,1200401.0
Rondonópolis/MT,MT,5107602.0
Recife/PE,PE,2611606.0
Ribeirão Preto/SP,SP,3543402.0
São José dos Campos/SP,SP,3549904.0
São Luís/MA,MA,2111300.0
Santarém/PA,PA,1506807.0
São José do Rio Preto/SP,SP,3549805.0
Salvador/BA,BA,2927408.0
Oriximiná/PA,PA,1505304.0
Teresina/PI,PI,2211001.0
Tefé/AM,AM,1304203.0
Três Lagoas/MS,MS,5008305.0
Paulo Afonso/BA,BA,2924009.0
Uberlândia/MG,MG,3170206.0
Uberaba/MG,MG,3170107.0
Varginha/MG,MG,3170701.0
Vilhena/RO,RO,1100304.0
Serra/ES,ES,3205002.0
Angra dos Reis/RJ,RJ,3300100.0
Aracati/CE,CE,2301109.0
Barreiras/BA,BA,2903201.0
Feira de Santana/BA,BA,2910800.0
Teixeira de Freitas/BA,BA,2931350.0
Patos/PB,PB,2510808.0
Conceição do Almeida/BA,BA,2908309.0
Cacoal/RO,RO,1100049.0
Araguaína/TO,TO,1702109.0
Lábrea/AM,AM,1302405.0
Rio Verde/GO,GO,5218805.0
Parintins/AM,AM,1303403.0
Sinop/MT,MT,5107909.0
